uf;anomes;valor;regiao
Goiás;200907;24577126.64;Centro-Oeste
Distrito Federal;200907;14075642.84;Centro-Oeste
Rondônia;200908;3533625.83;Norte
Acre;200908;2307579.0;Norte
Amazonas;200908;9578326.03;Norte
Roraima;200908;1848998.68;Norte
Pará;200908;27588522.26;Norte
Amapá;200908;1746538.99;Norte
Tocantins;200908;6490519.5;Norte
Maranhão;200908;19332949.68;Nordeste
Piauí;200908;12168904.03;Nordeste
Ceará;200908;34682824.87;Nordeste
Rio Grande do Norte;200908;13075400.99;Nordeste
Paraíba;200908;15590347.89;Nordeste
Pernambuco;200908;37050387.71;Nordeste
Alagoas;200908;10717711.38;Nordeste
Sergipe;200908;5751986.48;Nordeste
Bahia;200908;52458246.42;Nordeste
Minas Gerais;200908;100080062.68;Sudeste
Espírito Santo;200908;15682021.1;Sudeste
Rio de Janeiro;200908;56202711.73;Sudeste
São Paulo;200908;232536720.14;Sudeste
Paraná;200908;68256573.41;Sul
Santa Catarina;200908;37259106.98;Sul
Rio Grande do Sul;200908;66457445.34;Sul
Mato Grosso do Sul;200908;11178470.01;Centro-Oeste
Mato Grosso;200908;11823239.61;Centro-Oeste
Goiás;200908;24372626.65;Centro-Oeste
Distrito Federal;200908;15070287.19;Centro-Oeste
Rondônia;200909;3605007.43;Norte
Amazonas;200909;9730634.16;Norte
Roraima;200909;1701611.25;Norte
Pará;200909;27967969.22;Norte
Amapá;200909;2034329.78;Norte
Tocantins;200909;6542918.14;Norte
Maranhão;200909;19722895.51;Nordeste
Piauí;200909;12247027.29;Nordeste
Ceará;200909;34471579.06;Nordeste
Rio Grande do Norte;200909;13213817.6;Nordeste
Paraíba;200909;16117680.24;Nordeste
Pernambuco;200909;37971068.17;Nordeste
Alagoas;200909;11170853.09;Nordeste
Sergipe;200909;6341601.06;Nordeste
Bahia;200909;53839068.59;Nordeste
Minas Gerais;200909;96911075.38;Sudeste
Espírito Santo;200909;15382323.46;Sudeste
Rio de Janeiro;200909;52027721.77;Sudeste
São Paulo;200909;220292973.66;Sudeste
Paraná;200909;65843824.73;Sul
Santa Catarina;200909;37380382.93;Sul
Rio Grande do Sul;200909;66425009.36;Sul
Mato Grosso do Sul;200909;11997775.92;Centro-Oeste
Mato Grosso;200909;10810420.65;Centro-Oeste
Goiás;200909;25227845.74;Centro-Oeste
Distrito Federal;200909;14487053.32;Centro-Oeste
Rondônia;200910;3907032.72;Norte
Acre;200910;2826477.02;Norte
Amazonas;200910;9179252.65;Norte
Roraima;200910;1164711.18;Norte
Pará;200910;28430631.19;Norte
Amapá;200910;1839723.26;Norte
Tocantins;200910;6420058.63;Norte
Maranhão;200910;19277852.57;Nordeste
Piauí;200910;11744946.02;Nordeste
Ceará;200910;34058130.68;Nordeste
Rio Grande do Norte;200910;13294634.31;Nordeste
Paraíba;200910;15751691.59;Nordeste
Pernambuco;200910;39339518.15;Nordeste
Alagoas;200910;11884312.16;Nordeste
Sergipe;200910;5872206.67;Nordeste
Bahia;200910;51437189.65;Nordeste
Minas Gerais;200910;97956440.66;Sudeste
Espírito Santo;200910;15580269.47;Sudeste
Rio de Janeiro;200910;52063748.46;Sudeste
São Paulo;200910;221987951.33;Sudeste
Paraná;200910;66394412.26;Sul
Santa Catarina;200910;35782563.69;Sul
Rio Grande do Sul;200910;65782428.73;Sul
Mato Grosso do Sul;200910;11686533.15;Centro-Oeste
Mato Grosso;200910;12130636.06;Centro-Oeste
Goiás;200910;24746686.9;Centro-Oeste
Distrito Federal;200910;14794759.93;Centro-Oeste
Rondônia;200911;3939820.71;Norte
Acre;200911;2170791.18;Norte
Amazonas;200911;8314648.93;Norte
Roraima;200911;1434809.17;Norte
Pará;200911;25432419.12;Norte
Amapá;200911;1882221.29;Norte
Tocantins;200911;6149491.8;Norte
Maranhão;200911;18634078.27;Nordeste
Piauí;200911;12196050.05;Nordeste
Ceará;200911;33861419.95;Nordeste
Rio Grande do Norte;200911;13153593.04;Nordeste
Paraíba;200911;15927662.69;Nordeste
Pernambuco;200911;38448709.0;Nordeste
Alagoas;200911;11491215.89;Nordeste
Sergipe;200911;6417612.33;Nordeste
Bahia;200911;51511419.22;Nordeste
Minas Gerais;200911;100726279.56;Sudeste
Espírito Santo;200911;14614727.18;Sudeste
Rio de Janeiro;200911;54304571.03;Sudeste
São Paulo;200911;220117480.9;Sudeste
Paraná;200911;66395558.19;Sul
Santa Catarina;200911;37345105.77;Sul
Rio Grande do Sul;200911;63714541.87;Sul
Mato Grosso do Sul;200911;10756188.43;Centro-Oeste
Mato Grosso;200911;11574096.75;Centro-Oeste
Goiás;200911;24628958.5;Centro-Oeste
Distrito Federal;200911;13970147.7;Centro-Oeste
Rondônia;200912;3901084.11;Norte
Acre;200912;2541526.44;Norte
Amazonas;200912;9050439.39;Norte
Roraima;200912;1603817.28;Norte
Pará;200912;26405862.2;Norte
Amapá;200912;1712948.71;Norte
Tocantins;200912;6075178.19;Norte
Maranhão;200912;19117914.42;Nordeste
Piauí;200912;13459523.06;Nordeste
Ceará;200912;32151569.45;Nordeste
Rio Grande do Norte;200912;13652544.87;Nordeste
Paraíba;200912;15437528.74;Nordeste
Pernambuco;200912;36961718.24;Nordeste
Alagoas;200912;11619807.05;Nordeste
Sergipe;200912;5901811.49;Nordeste
Bahia;200912;49837755.53;Nordeste
Minas Gerais;200912;95354390.87;Sudeste
Espírito Santo;200912;13389707.31;Sudeste
Rio de Janeiro;200912;49771259.0;Sudeste
São Paulo;200912;209094405.4;Sudeste
Paraná;200912;67070814.17;Sul
Santa Catarina;200912;33887220.81;Sul
Rio Grande do Sul;200912;64488493.88;Sul
Mato Grosso do Sul;200912;10565385.71;Centro-Oeste
Mato Grosso;200912;10726251.53;Centro-Oeste
Goiás;200912;25524615.37;Centro-Oeste
Distrito Federal;200912;12231919.68;Centro-Oeste
Rondônia;201001;3684407.02;Norte
